symbol,organ_name,icb_code1,icb_code2,icb_code3,icb_code4,icb_name2,icb_name3,icb_name4
BSR,Công ty Cổ phần Lọc Hóa dầu Bình Sơn,0001,0500,0530,0533,Dầu khí,Sản xuất Dầu khí,Sản xuất và Khai thác dầu khí
BTP,Công ty Cổ phần Nhiệt điện Bà Rịa,7000,7500,7530,7535,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
BTT,Công ty Cổ phần Thương mại - Dịch vụ Bến Thành,5000,5300,5370,5373,Bán lẻ,Bán lẻ,Bán lẻ phức hợp
BVH,Tập đoàn Bảo Việt,8000,8500,8570,8575,Bảo hiểm,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ
BWE,Công ty Cổ phần - Tổng công ty Nước - Môi trường Bình Dương,7000,7500,7570,7577,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
C32,Công ty Cổ phần Đầu tư và Xây dựng 3-2,2000,2300,2350,2353,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
C47,Công ty Cổ phần Xây dựng 47,2000,2300,2350,2357,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
CCC,Công ty Cổ Phần Xây Dựng CDC,2000,2300,2350,2357,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
CCI,Công ty Cổ phần Đầu tư Phát triển Công nghiệp Thương mại Củ Chi,7000,7500,7570,7573,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
CCL,Công ty Cổ phần Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
CDC,Công ty Cổ phần Chương Dương,2000,2300,2350,2357,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
CHP,Công ty Cổ phần Thủy điện Miền Trung,7000,7500,7530,7535,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
CIG,Công ty Cổ phần COMA 18,2000,2300,2350,2357,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
CII,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh,2000,2300,2350,2357,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
CKG,Công ty Cổ phần Tập đoàn CIC,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
CLC,Công ty Cổ phần Cát Lợi,3000,3700,3780,3785,Hàng cá nhân & Gia dụng,Thuốc lá,Thuốc lá
CLL,Công ty Cổ phần Cảng Cát Lái,2000,2700,2770,2777,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
CLW,Công ty Cổ phần Cấp nước Chợ Lớn,7000,7500,7570,7577,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
CMG,Công ty Cổ phần Tập đoàn Công nghệ CMC,9000,9500,9530,9533,Công nghệ Thông tin,Phần mềm & Dịch vụ Máy tính,Dịch vụ Máy tính
CMV,Công ty Cổ phần Thương nghiệp Cà Mau,5000,5300,5370,5373,Bán lẻ,Bán lẻ,Bán lẻ phức hợp
CMX,Công ty Cổ phần CAMIMEX Group,3000,3500,3570,3573,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
CNG,Công ty Cổ phần CNG Việt Nam,7000,7500,7570,7573,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
COM,Công ty Cổ phần Vật tư Xăng dầu,5000,5300,5370,5379,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng
CRC,Công ty Cổ phần Create Capital Việt Nam,2000,2300,2350,2353,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
CRE,Công ty Cổ phần Bất động sản Thế Kỷ,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
CRV,Công ty Cổ phần Tập đoàn Bất động sản CRV,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
