symbol,organ_name,icb_code1,icb_code2,icb_code3,icb_code4,icb_name2,icb_name3,icb_name4
IMP,Công ty Cổ phần Dược phẩm IMEXPHARM,4000,4500,4570,4577,Y tế,Dược phẩm,Dược phẩm
ITC,Công ty Cổ phần Đầu tư - Kinh doanh nhà,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
ITD,Công ty Cổ phần Công nghệ ITD,9000,9500,9530,9537,Công nghệ Thông tin,Phần mềm & Dịch vụ Máy tính,Phần mềm
JVC,Công ty Cổ phần Đầu tư Y tế - Dược phẩm Việt Nam,4000,4500,4530,4535,Y tế,Thiết bị và Dịch vụ Y tế,Thiết bị y tế
KBC,Tổng Công ty Phát triển Đô thị Kinh Bắc,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
KDC,Công ty Cổ phần Tập đoàn KIDO,3000,3500,3570,3577,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
KDH,Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
KHG,Công ty Cổ phần Tập đoàn Khải Hoàn Land,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
KHP,Công ty Cổ phần Điện lực Khánh Hòa,7000,7500,7530,7535,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
KLB,Ngân hàng Thương mại Cổ phần Kiên Long,8301,8300,8350,8355,Ngân hàng,Ngân hàng,Ngân hàng
KMR,Công ty Cổ phần Mirae,3000,3700,3760,3763,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
KOS,Công ty Cổ phần KOSY,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
KSB,Công ty Cổ phần Khoáng sản và Xây dựng Bình Dương,2000,2300,2350,2353,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
L10,Công ty Cổ phần Lilama 10,2000,2700,2750,2757,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp
LAF,Công ty Cổ phần Chế biến Hàng Xuất khẩu Long An,3000,3500,3570,3577,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
LBM,Công ty Cổ phần Khoáng sản và Vật liệu xây dựng Lâm Đồng,2000,2300,2350,2353,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
LCG,Công ty Cổ phần Lizen,2000,2300,2350,2357,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
LDG,Công ty Cổ phần Đầu tư LDG,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
LGC,Công ty Cổ phần Đầu tư Cầu đường CII,2000,2300,2350,2357,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
LGL,Công ty Cổ phần Đầu tư và Phát triển Đô thị Long Giang,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
LHG,Công ty Cổ phần Long Hậu,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
LIX,Công ty Cổ phần Bột Giặt LIX,3000,3700,3760,3767,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng cá nhân
LM8,Công ty Cổ phần Lilama 18,2000,2300,2350,2357,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
LPB,Ngân hàng Thương mại Cổ phần Lộc Phát Việt Nam,8301,8300,8350,8355,Ngân hàng,Ngân hàng,Ngân hàng
LSS,Công ty Cổ phần Mía đường Lam Sơn,3000,3500,3570,3577,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
MBB,Ngân hàng Thương mại Cổ phần Quân đội,8301,8300,8350,8355,Ngân hàng,Ngân hàng,Ngân hàng
MCH,Công ty Cổ phần Hàng Tiêu Dùng MaSan,3000,3500,3570,3577,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
MCM,Công ty Cổ phần Giống bò sữa Mộc Châu,3000,3500,3570,3577,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
MCP,Công ty Cổ phần In và Bao bì Mỹ Châu,2000,2700,2720,2723,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói
MDG,Công ty Cổ phần Miền Đông,2000,2300,2350,2353,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
MHC,Công ty Cổ phần MHC,2000,2700,2770,2779,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải
MIG,Tổng Công ty Cổ phần Bảo hiểm Quân đội,8000,8500,8530,8536,Bảo hiểm,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ
MSB,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam,8301,8300,8350,8355,Ngân hàng,Ngân hàng,Ngân hàng
MSH,Công ty Cổ phần May Sông Hồng,3000,3700,3760,3763,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
MSN,Công ty Cổ phần Tập đoàn Masan,3000,3500,3570,3577,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
MWG,Công ty Cổ phần Đầu tư Thế Giới Di Động,5000,5300,5370,5379,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng
NAB,Ngân hàng Thương mại Cổ phần Nam Á,8301,8300,8350,8355,Ngân hàng,Ngân hàng,Ngân hàng
NAF,Công ty Cổ phần Nafoods Group,3000,3500,3530,3537,Thực phẩm và đồ uống,Bia và đồ uống,Đồ uống & giải khát
NAV,Công ty Cổ phần Nam Việt,2000,2300,2350,2353,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
NBB,Công ty Cổ phần Đầu tư Năm Bảy Bảy,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
NCT,Công ty Cổ phần Dịch vụ Hàng hóa Nội Bài,2000,2700,2770,2777,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
NHA,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị Nam Hà Nội,2000,2300,2350,2357,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
NHH,Công ty Cổ phần Nhựa Hà Nội,1000,1300,1350,1353,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
NHT,Công ty Cổ phần Sản xuất và Thương mại Nam Hoa,3000,3700,3740,3747,Hàng cá nhân & Gia dụng,Hàng hóa giải trí,Đồ chơi
NKG,Công ty Cổ phần Thép Nam Kim,1000,1700,1750,1757,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
NLG,Công ty Cổ phần Đầu tư Nam Long,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
NNC,Công ty Cổ phần Đá Núi Nhỏ,2000,2300,2350,2353,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
NO1,Công ty Cổ phần Tâp đoàn 911,2000,2700,2750,2757,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp
NSC,Công ty Cổ phần Tập đoàn Giống cây trồng Việt Nam,3000,3500,3570,3573,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
NT2,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,7000,7500,7530,7535,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
NTC,Công ty Cổ phần Khu Công nghiệp Nam Tân Uyên,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
NTL,Công ty Cổ phần Phát triển Đô thị Từ Liêm,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
NVL,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
NVT,Công ty Cổ phần Bất động sản Du lịch Ninh Vân Bay,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
OCB,Ngân hàng Thương mại Cổ phần Phương Đông,8301,8300,8350,8355,Ngân hàng,Ngân hàng,Ngân hàng
OGC,Công ty Cổ phần Tập đoàn Đại Dương,8000,8700,8770,8775,Dịch vụ tài chính,Dịch vụ tài chính,Tài chính đặc biệt
OPC,Công ty Cổ phần Dược Phẩm OPC,4000,4500,4570,4577,Y tế,Dược phẩm,Dược phẩm
ORS,Công ty Cổ phần Chứng khoán Tiên Phong,8000,8700,8770,8777,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
PAC,Công ty Cổ phần Pin Ắc quy Miền Nam,2000,2700,2730,2733,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Hàng điện & điện tử
PAN,Công ty Cổ phần Tập đoàn PAN,3000,3500,3570,3577,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
PC1,Công ty Cổ phần Tập đoàn PC1,2000,2300,2350,2357,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
PDN,Công ty Cổ phần Cảng Đồng Nai,2000,2700,2770,2777,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
PDR,Công ty Cổ phần Phát triển Bất động sản Phát Đạt,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
PDV,Công ty Cổ phần Vận tải và Tiếp vận Phương Đông Việt,2000,2700,2770,2773,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy
PET,Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí,5000,5300,5370,5379,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng
PGC,Tổng Công ty Gas Petrolimex - Công ty Cổ phần,7000,7500,7570,7573,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
PGD,Công ty Cổ phần Phân phối khí thấp áp dầu khí Việt Nam,7000,7500,7570,7573,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
PGI,Tổng Công ty Cổ phần Bảo hiểm Petrolimex,8000,8500,8530,8536,Bảo hiểm,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ
PGV,Tổng Công ty Phát điện 3 - Công ty Cổ phần,7000,7500,7530,7535,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
PHC,Công ty Cổ phần Xây dựng Phục Hưng Holdings,2000,2300,2350,2357,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
PHR,Công ty Cổ phần Cao su Phước Hòa,1000,1300,1350,1353,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
PIT,Công ty Cổ phần Xuất nhập khẩu Petrolimex,5000,5300,5370,5373,Bán lẻ,Bán lẻ,Bán lẻ phức hợp
PJT,Công ty Cổ phần Vận tải Xăng dầu đường thủy Petrolimex,2000,2700,2770,2773,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy
PLP,Công ty Cổ phần Sản xuất và Công nghệ Nhựa Pha Lê,1000,1300,1350,1353,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
PLX,Tập đoàn Xăng dầu Việt Nam,0001,0500,0530,0533,Dầu khí,Sản xuất Dầu khí,Sản xuất và Khai thác dầu khí
PMG,Công ty Cổ phần Đầu tư và Sản xuất Petro Miền Trung,7000,7500,7570,7573,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
PNC,Công ty Cổ phần Văn hóa Phương Nam,5000,5500,5550,5557,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa"
PNJ,Công ty Cổ phần Vàng bạc Đá quý Phú Nhuận,3000,3700,3760,3767,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng cá nhân
POW,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP,7000,7500,7530,7535,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
PPC,Công ty Cổ phần Nhiệt điện Phả Lại,7000,7500,7530,7535,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
PTB,Công ty Cổ phần Phú Tài,1000,1700,1730,1733,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ
PTC,Công ty Cổ phần Đầu tư ICAPITAL,2000,2300,2350,2357,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
PTL,Công ty Cổ phần Victory Group,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
PVD,Tổng Công ty Cổ phần Khoan và Dịch vụ khoan Dầu khí,0001,0500,0570,0573,Dầu khí,"Thiết bị, Dịch vụ và Phân phối Dầu khí",Thiết bị và Dịch vụ Dầu khí
PVP,Công ty Cổ phần Vận tải Dầu khí Thái Bình Dương,2000,2700,2770,2779,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải
PVT,Tổng Công ty Cổ phần Vận tải Dầu khí,2000,2700,2770,2773,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy
QCG,Công ty Cổ phần Quốc Cường Gia Lai,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
QNP,Công ty Cổ phần Cảng Quy Nhơn,2000,2700,2770,2777,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
RAL,Công ty Cổ phần Bóng đèn Phích nước Rạng Đông,3000,3700,3720,3726,Hàng cá nhân & Gia dụng,Hàng gia dụng,Thiết bị gia dụng
REE,Công ty Cổ phần Cơ điện Lạnh,7000,7500,7530,7535,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
RYG,Công ty Cổ phần Sản xuất và Đầu tư Hoàng Gia,2000,2300,2350,2353,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
S4A,Công ty Cổ phần Thủy điện Sê San 4A,7000,7500,7530,7535,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
SAB,Tổng Công ty Cổ phần Bia - Rượu - Nước Giải khát Sài Gòn,3000,3500,3530,3533,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia
SAM,Công ty Cổ phần SAM Holdings,9000,9500,9570,9578,Công nghệ Thông tin,Thiết bị và Phần cứng,Thiết bị viễn thông
SAP,,,,,,,,
SAV,Công ty Cổ phần Hợp tác Kinh tế và Xuất nhập khẩu Savimex,1000,1700,1730,1733,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ
SBA,Công ty Cổ phần Sông Ba,7000,7500,7530,7535,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
SBG,Công ty Cổ Phần Tập Đoàn Cơ Khí Công Nghệ Cao Siba,2000,2700,2720,2727,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Công nghiệp phức hợp
SBT,Công ty Cổ phần Thành Thành Công - Biên Hòa,3000,3500,3570,3577,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
SBV,Công ty Cổ phần Siam Brothers Việt Nam,5000,5300,5370,5379,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng
SC5,Công ty Cổ phần Xây dựng số 5,2000,2300,2350,2357,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
SCR,Công ty Cổ phần Địa Ốc Sài Gòn Thương Tín,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
SCS,Công ty Cổ phần Dịch vụ Hàng hóa Sài Gòn,5000,5700,5750,5751,Du lịch và Giải trí,Du lịch & Giải trí,Hàng không
SDB,,,,,,,,
SFC,Công ty Cổ phần Nhiên liệu Sài Gòn,7000,7500,7570,7573,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
SFG,Công ty Cổ phần Phân bón Miền Nam,1000,1300,1350,1357,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
SFI,Công ty Cổ phần Đại lý Vận tải SAFI,2000,2700,2770,2773,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy
SGN,Công ty Cổ phần Phục vụ mặt đất Sài Gòn,2000,2700,2770,2777,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
SGR,Công ty Cổ phần Tổng Công ty Cổ phần Địa ốc Sài Gòn,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
SGT,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,9000,9500,9530,9535,Công nghệ Thông tin,Phần mềm & Dịch vụ Máy tính,Internet
SHA,Công ty Cổ phần Sơn Hà Sài Gòn,1000,1700,1750,1757,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
SHB,Ngân hàng Thương mại Cổ phần Sài Gòn – Hà Nội,8301,8300,8350,8355,Ngân hàng,Ngân hàng,Ngân hàng
SHI,Công ty Cổ phần Quốc tế Sơn Hà,1000,1700,1750,1757,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
SHP,Công ty Cổ phần Thủy điện Miền Nam,7000,7500,7530,7535,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
SIP,Công ty Cổ phần Đầu tư Sài Gòn VRG,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
SJD,Công ty Cổ phần Thủy điện Cần Đơn,7000,7500,7530,7535,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
SJS,Công ty Cổ phần SJ Group,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
SKG,Công ty Cổ phần Tàu Cao tốc Superdong - Kiên Giang,5000,5700,5750,5759,Du lịch và Giải trí,Du lịch & Giải trí,Vận tải hành khách & Du lịch
SMA,Công ty Cổ phần Thiết bị Phụ tùng Sài Gòn,7000,7500,7530,7535,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
SMB,Công ty Cổ phần Bia Sài Gòn - Miền Trung,3000,3500,3530,3533,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia
SMC,Công ty Cổ phần Đầu tư Thương mại SMC,1000,1700,1750,1757,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
SPM,Công ty Cổ phần S.P.M,4000,4500,4570,4577,Y tế,Dược phẩm,Dược phẩm
SRC,Công ty Cổ phần Cao su Sao Vàng,3000,3300,3350,3357,Ô tô và phụ tùng,Ô tô và phụ tùng,Lốp xe
SRF,Công ty Cổ phần Searefico,2000,2700,2750,2757,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp
SSB,Ngân hàng Thương mại Cổ phần Đông Nam Á,8301,8300,8350,8355,Ngân hàng,Ngân hàng,Ngân hàng
SSC,Công ty Cổ phần Giống cây trồng Miền Nam,3000,3500,3570,3573,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
SSI,Công ty Cổ phần Chứng khoán SSI,8000,8700,8770,8777,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
ST8,Công ty Cổ phần Tập đoàn ST8,9000,9500,9570,9574,Công nghệ Thông tin,Thiết bị và Phần cứng,Thiết bị văn phòng
STB,Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín,8301,8300,8350,8355,Ngân hàng,Ngân hàng,Ngân hàng
STG,Công ty Cổ phần Kho Vận Miền Nam,2000,2700,2770,2777,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
STK,Công ty Cổ phần Sợi Thế Kỷ,3000,3700,3760,3763,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
SVC,Công ty Cổ phần Dịch vụ tổng hợp Sài Gòn,3000,3300,3350,3353,Ô tô và phụ tùng,Ô tô và phụ tùng,Sản xuất ô tô
SVD,Công ty Cổ phần Đầu tư & Thương mại Vũ Đăng,3000,3700,3760,3763,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
SVI,Công ty Cổ phần Bao bì Biên Hòa,2000,2700,2720,2723,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói
SVT,Công ty Cổ phần Công nghệ Sài Gòn Viễn Đông,5000,5300,5370,5377,Bán lẻ,Bán lẻ,Dịch vụ tiêu dùng chuyên ngành
SZC,Công ty Cổ phần Sonadezi Châu Đức,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
SZL,Công ty Cổ phần Sonadezi Long Thành,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
TAL,Công Ty Cổ Phần Đầu Tư Bất Động Sản Taseco,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
TBC,Công ty Cổ phần Thủy điện Thác Bà,7000,7500,7530,7535,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
TCB,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam,8301,8300,8350,8355,Ngân hàng,Ngân hàng,Ngân hàng
TCD,Công ty cổ phần Tập đoàn Xây dựng Tracodi,2000,2300,2350,2357,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
TCH,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
TCI,Công ty Cổ phần Chứng khoán Thành Công,8000,8700,8770,8777,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
TCL,Công ty Cổ phần Đại lý Giao nhận Vận tải Xếp dỡ Tân Cảng,2000,2700,2770,2779,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải
TCM,Công ty Cổ phần Dệt may - Đầu tư - Thương mại Thành Công,3000,3700,3760,3763,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
TCO,Công ty Cổ phần TCO Holdings,3000,3500,3570,3573,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
TCR,Công ty Cổ phần Công nghiệp Gốm sứ TAICERA,2000,2300,2350,2353,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
TCT,Công ty Cổ phần Cáp treo Núi Bà Tây Ninh,5000,5700,5750,5759,Du lịch và Giải trí,Du lịch & Giải trí,Vận tải hành khách & Du lịch
TCX,Công ty Cổ phần Chứng khoán Kỹ Thương,8000,8700,8770,8777,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
TDC,Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,8000,8600,8630,8637,Bất động sản,Bất động sản,"Tư Vấn, Định giá, Môi giới Bất động sản"
TDG,Công ty Cổ phần Đầu tư TDG Global,7000,7500,7570,7573,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
TDH,Công ty Cổ phần Phát triển Nhà Thủ Đức,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
TDM,Công ty Cổ phần Nước Thủ Dầu Một,7000,7500,7570,7577,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
TDP,Công ty Cổ phần Thuận Đức,2000,2700,2720,2723,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói
TDW,Công ty Cổ phần Cấp nước Thủ Đức,7000,7500,7570,7577,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
TEG,Công ty Cổ phần Trường Thành Energy Group,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
TEL,,,,,,,,
THG,Công ty Cổ phần Đầu tư và Xây dựng Tiền Giang,2000,2300,2350,2353,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
TIP,Công ty Cổ phần Phát triển Khu công nghiệp Tín Nghĩa,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
TIX,Công ty Cổ phần Sản xuất Kinh doanh Xuất nhập khẩu Dịch vụ và Đầu tư Tân Bình,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
TLD,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Đô thị Thăng Long,2000,2300,2350,2353,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
TLG,Công ty Cổ phần Tập đoàn Thiên Long,3000,3700,3720,3724,Hàng cá nhân & Gia dụng,Hàng gia dụng,Đồ gia dụng một lần
TLH,Công ty Cổ phần Tập đoàn Thép Tiến Lên,1000,1700,1750,1757,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
TMP,Công ty Cổ phần Thủy điện Thác Mơ,7000,7500,7530,7535,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
TMS,Công ty Cổ phần Transimex,2000,2700,2770,2777,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
TMT,Công ty Cổ phần Ô tô TMT,3000,3300,3350,3353,Ô tô và phụ tùng,Ô tô và phụ tùng,Sản xuất ô tô
TN1,Công ty Cổ phần Rox Key Holdings,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
TNC,Công ty Cổ phần Cao su Thống Nhất,1000,1300,1350,1353,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
TNH,Công ty Cổ phần Tập đoàn Bệnh viện TNH,4000,4500,4530,4533,Y tế,Thiết bị và Dịch vụ Y tế,Chăm sóc y tế
TNI,Công ty Cổ phần Tập đoàn Thành Nam,1000,1700,1750,1757,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
TNT,Công ty Cổ phần Tập đoàn TNT,2000,2300,2350,2353,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
TPB,Ngân hàng Thương mại Cổ phần Tiên Phong,8301,8300,8350,8355,Ngân hàng,Ngân hàng,Ngân hàng
TPC,Công ty Cổ phần Nhựa Tân Đại Hưng,1000,1300,1350,1353,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
TRA,Công ty Cổ phần Traphaco,4000,4500,4570,4577,Y tế,Dược phẩm,Dược phẩm
TRC,Công ty Cổ phần Cao su Tây Ninh,1000,1300,1350,1353,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
TSA,Công ty Cổ Phần Đầu Tư Và Xây Lắp Trường Sơn,2000,2300,2350,2357,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
TSC,Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,1000,1300,1350,1357,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
TTA,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Trường Thành,7000,7500,7530,7535,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
TTE,Công ty Cổ phần Đầu tư Năng lượng Trường Thịnh,7000,7500,7530,7535,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
TTF,Công ty Cổ phần Tập đoàn Kỹ nghệ Gỗ Trường Thành,1000,1700,1730,1733,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ
