ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Convertible bonds (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),symbol,Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Investments in associate companies,Less: Provision for diminuation in value of long term investments,Tangible fixed assets,Intagible fixed assets,Other Assets,Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,Capital,Reserves,Foreign Currency Difference reserve
CTF,2020,4,964309779809.0,39585052219,0.0,620651203137.0,296239658775.0,7833865678.0,651082617946.0,161042903684,98735935807.0,88041774746.0,1615392397755,1082574175831,903272414196.0,179301761635.0,532818221924,532818221924.0,,45046328994,1615392397755,19029655928.0,296239658775.0,,4367682760.0,455399680000.0,455399680000,79301761635.0,22136073389.0,644252335127.0,6485296070.0,8000000000.0,301930243073.0,301930243073.0,CTF,,,26789329209.0,0.0,81556478676.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTF,2020,3,1031708037579.0,31969516863,0.0,648044291013.0,337073024463.0,14621205240.0,475871625572.0,160238184254,21247229213.0,91310262302.0,1507579663151,974958473200,871844387063.0,103114086137.0,532621189951,532621189951.0,,46204360304,1507579663151,14395883888.0,337073024463.0,,4367682760.0,455399680000.0,455399680000,3114086137.0,41438692932.0,665490404133.0,7324678415.0,0.0,202742848258.0,202742848258.0,CTF,,,25434265926.0,0.0,83985583887.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTF,2020,2,993330812605.0,36566623224,0.0,594399296567.0,342964567623.0,19400325191.0,484816320709.0,132326095590,22692230041.0,95141227273.0,1478147133314,946461148574,843750062437.0,102711086137.0,531685984740,531685984740.0,,44847989845,1478147133314,9190991099.0,342964567623.0,,4367682760.0,455399680000.0,455399680000,2711086137.0,51962549685.0,610458337053.0,8726538171.0,0.0,203233835870.0,203233835870.0,CTF,,,25855431174.0,0.0,86414689102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTF,2020,1,1085741974955.0,17623360693,0.0,587961184660.0,441193125230.0,38964304372.0,367121527319.0,137258555770,0.0,99814752614.0,1452863502274,919902887195,917635366506.0,2267520689.0,532960615079,532960615079.0,,44040864214,1452863502274,73159457796.0,442018939475.0,,4367682760.0,455399680000.0,455399680000,2267520689.0,80221128327.0,679692309780.0,10970958303.0,0.0,92132585499.0,92132585499.0,CTF,,,27937187144.0,0.0,88843794311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTF,2019,4,1121848145519.0,29692395800,0.0,626868455860.0,446204145539.0,19083148320.0,425053137880.0,131723128608,0.0,100035685126.0,1546901283399,1008255814226,1004547701088.0,3708113138.0,538645469173,538645469173.0,,41498767700,1546901283399,28825056341.0,447029959784.0,,4351560692.0,455399680000.0,455399680000,3708113138.0,44010287221.0,790860395673.0,9040057302.0,0.0,166623558503.0,166623558503.0,CTF,,,36196381889.0,0.0,90995627824.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTF,2019,3,1117553435398.0,27235568203,0.0,544278736372.0,519622681918.0,26416448905.0,481202601857.0,130139738360,0.0,61290224417.0,1598756037255,979110252125,975074155085.0,4036097040.0,619645785130,619645785130.0,,38507691932,1598756037255,69956566619.0,520448496163.0,,4351560692.0,455399680000.0,455399680000,4036097040.0,35532336464.0,781146304803.0,6796006040.0,0.0,271772744958.0,271772744958.0,CTF,,,120187773614.0,0.0,54494218377.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTF,2019,2,1026486604079.0,31914737982,0.0,571270780263.0,412312656169.0,10988429665.0,471075678824.0,127965849648,0.0,63523710465.0,1497562282903,869508592776,866609319496.0,2899273280.0,628053690127,628053690127.0,,46774690395,1497562282903,93375911960.0,413138470414.0,,4351560692.0,455399680000.0,455399680000,2899273280.0,38908860778.0,715923545721.0,7556675378.0,0.0,272731585499.0,272731585499.0,CTF,,,120328680148.0,0.0,55967035087.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTF,2019,1,919203582215.0,27247145192,0.0,553193195682.0,330211484929.0,8551756412.0,468535202162.0,130462584178,0.0,63729102254.0,1387738784377,772383041408,770233897888.0,2149143520.0,615355742969,615355742969.0,,84803607651,1387738784377,95893482303.0,331037299174.0,,8751560692.0,396000000000.0,396000000000,2149143520.0,44432660673.0,600438347123.0,6639988611.0,0.0,272279790059.0,272279790059.0,CTF,,,124601495734.0,0.0,57089113643.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTF,2018,4,782822491586.0,29209018092,0.0,549102526021.0,201014847270.0,3496100203.0,189918514957.0,117485931896,0.0,2236766436.0,972741006543,701562991940,699144201285.0,2418790655.0,271178014603,271178014603.0,,63258711183,972741006543,46363681261.0,201241564258.0,,8751560692.0,180000000000.0,180000000000,1229960000.0,40290710844.0,574285982213.0,2236766436.0,0.0,66713425499.0,66713425499.0,CTF,,,17968663836.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTF,2018,3,595786999222.0,21133261581,0.0,417896927370.0,151835474409.0,4921335862.0,163702855725.0,117171807941,0.0,3216401341.0,759489854947,528390335665,527192835665.0,1197500000.0,231099519282,231099519282.0,,25124249541,759489854947,2996784829.0,152062191397.0,,8751560692.0,180000000000.0,180000000000,1197500000.0,24823014124.0,396723662765.0,3216401341.0,0.0,41712675499.0,41712675499.0,CTF,,,16024630157.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
